1119575.scaffolds.fasta,1119564.scaffolds.fasta,1119565.scaffolds.fasta,1119566.scaffolds.fasta,1119567.scaffolds.fasta,1119568.scaffolds.fasta,1119569.scaffolds.fasta,1119570.scaffolds.fasta,1119571.scaffolds.fasta,1119572.scaffolds.fasta
1.0,0.2938643702906351,0.2512249286192675,0.21736545593522633,0.022506691916892765,0.014070067522183335,0.013590623120316031,0.03774556293185205,0.03199305038471085,0.02003698100521096
0.2938643702906351,1.0,0.22164498881346933,0.17026103352778268,0.011458851436660672,0.012635522959183673,0.002120656894679696,0.022966373657039206,0.020296593391153292,0.010420700580883646
0.2512249286192675,0.22164498881346933,1.0,0.3787810256120314,0.020584745204034544,0.018925392554040868,0.00911030130655053,0.038662328818945296,0.035587022847427624,0.014162317248115251
0.21736545593522633,0.17026103352778268,0.3787810256120314,1.0,0.021029411764705883,0.01484956950759408,0.06080711450253188,0.06929291246772716,0.06376993844728307,0.044014059654719724
0.022506691916892765,0.011458851436660672,0.020584745204034544,0.021029411764705883,1.0,0.12296501558711465,0.07317014203686914,0.05091090846033009,0.053154070884908124,0.05676193711180124
0.014070067522183335,0.012635522959183673,0.018925392554040868,0.01484956950759408,0.12296501558711465,1.0,0.05024238998235606,0.04716301244560246,0.1017212927807666,0.04841006169909824
0.013590623120316031,0.002120656894679696,0.00911030130655053,0.06080711450253188,0.07317014203686914,0.05024238998235606,1.0,0.20902610197259183,0.19291358864196004,0.1884879440573692
0.03774556293185205,0.022966373657039206,0.038662328818945296,0.06929291246772716,0.05091090846033009,0.04716301244560246,0.20902610197259183,1.0,0.40911159756388304,0.21264121586578574
0.03199305038471085,0.020296593391153292,0.035587022847427624,0.06376993844728307,0.053154070884908124,0.1017212927807666,0.19291358864196004,0.40911159756388304,1.0,0.18004239698050772
0.02003698100521096,0.010420700580883646,0.014162317248115251,0.044014059654719724,0.05676193711180124,0.04841006169909824,0.1884879440573692,0.21264121586578574,0.18004239698050772,1.0
